kdkab	namakab	KDKEC	NAMA_KEC	KDKEL	DESA_KEL	LAKI	PEREMP	BELUM_TIDAK_BEKERJA	MENGURUS_RUMAH_TANGGA	PELAJAR_MAHASISWA	PENSIUNAN	PEGAWAI_NEGERI_SIPIL	TENTARA_NASIONAL_INDONESIA	KEPOLISIAN_RI	PERDAGANGAN	PETANI_PEKEBUN	PETERNAK	NELAYAN_PERIKANAN	INDUSTRI	KONSTRUKSI	TRANSPORTASI	KARYAWAN_SWASTA	KARYAWAN_BUMN	KARYAWAN_BUMD	KARYAWAN_HONORER	BURUH_HARIAN_LEPAS	BURUH_TANI_PERKEBUNAN	BURUH_NELAYAN_PERIKANAN	BURUH_PETERNAKAN	PEMBANTU_RUMAH_TANGGA	TUKANG_CUKUR	TUKANG_LISTRIK	TUKANG_BATU	TUKANG_KAYU	TUKANG_SOL_SEPATU	TUKANG_LAS_PANDAI_BESI	TUKANG_JAHIT	TUKANG_GIGI	PENATA_RIAS	PENATA_BUSANA	PENATA_RAMBUT	MEKANIK	SENIMAN	TABIB	PARAJI	PERANCANG_BUSANA	PENTERJEMAH	IMAM_MESJID	PENDETA	PASTOR	WARTAWAN	USTADZ_MUBALIGH	JURU_MASAK	PROMOTOR_ACARA	ANGGOTA_DPR_RI	ANGGOTA_DPD	ANGGOTA_BPK	PRESIDEN	WAKIL_PRESIDEN	ANGGOTA_MAHKAMAH_KONSTITUSI	ANGGOTA_KABINET_KEMENTERIAN	DUTA_BESAR	GUBERNUR	WAKIL_GUBERNUR	BUPATI	WAKIL_BUPATI	WALIKOTA	WAKIL_WALIKOTA	ANGGOTA_DPRD_PROVINSI	ANGGOTA_DPRD_KABUPATEN_KOTA	DOSEN	GURU	PILOT	PENGACARA	NOTARIS	ARSITEK	AKUNTAN	KONSULTAN	DOKTER	BIDAN	PERAWAT	APOTEKER	PSIKIATER_PSIKOLOG	PENYIAR_TELEVISI	PENYIAR_RADIO	PELAUT	PENELITI	SOPIR	PIALANG	PARANORMAL	PEDAGANG	PERANGKAT_DESA	KEPALA_DESA	BIARAWATI	WIRASWASTA	LAINNYA	JML_DUK
7371	MAKASSAR	737108	UJUNG TANAH	7371081011	CAMBA BERUA	2690	2443	2223	1016	532	11	35	1	10	214	2	0	33	0	0	10	120	2	1	7	431	1	20	0	1	0	0	5	5	0	3	20	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	13	0	0	0	0	0	0	2	1	1	0	0	0	0	3	0	43	0	0	7	0	0	0	354	0	5133
7371	MAKASSAR	737108	UJUNG TANAH	7371081012	PATTINGALLOANG BA	1923	1931	1493	796	500	16	37	0	4	173	3	0	40	1	0	2	168	3	0	12	108	0	14	0	1	0	0	7	2	0	0	1	0	2	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	2	0	0	0	0	13	0	17	0	0	6	0	0	0	409	0	3854
7371	MAKASSAR	737109	PANAKKUKANG	7371091001	KARUWISI	7347	7394	6702	2256	1687	147	269	24	30	553	6	1	1	0	1	9	837	16	1	45	1145	4	2	1	4	0	0	11	1	0	0	8	0	1	0	0	4	0	1	0	1	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	56	0	2	0	0	0	0	5	0	5	0	0	0	0	15	0	76	0	0	48	0	0	0	747	0	14741
7371	MAKASSAR	737109	PANAKKUKANG	7371091002	PANAIKANG	10668	10057	8519	3211	3452	214	410	302	150	438	10	2	2	1	2	8	1538	25	4	32	1325	1	10	5	9	1	2	15	11	1	2	7	0	0	0	0	1	2	0	0	0	0	0	4	0	4	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	25	78	0	1	1	0	0	2	20	5	35	2	0	0	0	38	1	80	0	0	13	0	0	0	699	0	20725
7371	MAKASSAR	737109	PANAKKUKANG	7371091003	TELLO BARU	6565	6526	4568	1941	2751	231	538	16	146	475	10	0	0	0	3	1	1148	49	4	33	344	3	0	0	9	0	4	4	1	0	3	6	0	0	0	0	2	0	0	0	0	0	0	4	0	15	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	27	75	0	1	0	0	0	2	20	2	13	0	1	0	0	23	0	42	0	0	5	1	0	0	564	1	13091
7371	MAKASSAR	737109	PANAKKUKANG	7371091004	PAMPANG	9245	9010	7880	3058	2522	155	352	138	19	397	12	0	2	1	2	6	1062	19	1	38	1656	7	4	0	5	1	2	16	2	0	1	8	0	0	1	1	5	3	0	0	1	0	0	6	0	4	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	63	0	3	0	0	0	3	7	1	9	0	0	0	0	30	0	99	0	0	7	0	0	0	635	0	18255
7371	MAKASSAR	737109	PANAKKUKANG	7371091005	KARAMPUANG	6510	6450	4696	1472	2645	217	620	75	314	320	3	0	0	0	6	3	1199	82	13	31	202	0	1	1	22	0	2	13	4	0	1	0	0	1	0	0	6	0	0	0	0	0	1	4	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	167	98	0	8	2	3	1	5	54	5	22	1	0	0	0	17	1	22	1	0	5	0	0	0	583	1	12960
7371	MAKASSAR	737109	PANAKKUKANG	7371091006	TAMAMAUNG	14868	14790	11976	4423	4906	281	800	25	76	1146	11	0	4	4	4	4	2253	55	8	91	1323	8	3	2	22	1	3	29	5	0	2	50	0	3	2	2	7	0	1	0	0	0	1	5	1	12	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	46	133	0	2	2	2	0	11	24	5	27	6	1	0	0	41	1	137	1	1	33	0	0	0	1630	1	29658
7371	MAKASSAR	737109	PANAKKUKANG	7371091007	MASALE	6813	6791	4552	1897	2437	140	484	14	27	587	11	2	0	0	7	1	1518	73	3	33	429	6	1	0	76	1	1	2	3	0	0	2	0	1	0	2	3	0	0	0	1	0	1	7	0	8	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	48	63	0	2	9	0	0	4	93	4	13	1	0	0	0	9	0	48	0	0	6	0	0	0	967	0	13604
7371	MAKASSAR	737109	PANAKKUKANG	7371091008	PANDANG	6769	6798	4816	1712	2440	340	696	17	40	431	5	3	1	1	5	7	1377	66	7	56	319	0	0	0	29	0	0	27	0	0	1	2	0	1	0	0	4	2	1	0	0	0	0	4	0	5	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	103	0	4	3	1	2	5	49	0	26	3	0	0	0	11	2	20	0	0	9	0	0	0	861	3	13567
