kdkab	namakab	kdkec	namakec	kdkel	desakel	laki	perempuan	blm_kwn	kwn	cr_hdp	cr_mati	jml_duk
7302	BULUKUMBA	730206	KAJANG	7302062118	LOLISANG	1307	1333	1288	1237	33	82	2640
7302	BULUKUMBA	730207	BULUKUMPA	7302071001	TANETE	3260	3387	3484	2846	32	285	6647
7302	BULUKUMBA	730207	BULUKUMPA	7302071002	JAWI - JAWI	3014	3048	3065	2808	21	168	6062
7302	BULUKUMBA	730207	BULUKUMPA	7302071003	BALLASARAJA	1991	2082	1980	1979	5	109	4073
7302	BULUKUMBA	730207	BULUKUMPA	7302072004	BONTO BULAENG	1986	2160	2092	1860	21	173	4146
7302	BULUKUMBA	730207	BULUKUMPA	7302072005	BULO-BULO	1938	2079	2066	1774	12	165	4017
7302	BULUKUMBA	730207	BULUKUMPA	7302072006	BONTO MINASA	2037	2161	2099	1942	30	127	4198
7302	BULUKUMBA	730207	BULUKUMPA	7302072007	BALANG TAROANG	1335	1431	1380	1265	11	110	2766
7302	BULUKUMBA	730207	BULUKUMPA	7302072008	BARUGAE	1749	1748	1840	1488	20	149	3497
7302	BULUKUMBA	730207	BULUKUMPA	7302072009	SALASSAE	2009	1953	1858	1942	23	139	3962
7302	BULUKUMBA	730207	BULUKUMPA	7302072010	KAMBUNO	2096	2243	2216	1887	38	198	4339
7302	BULUKUMBA	730207	BULUKUMPA	7302072011	JOJJOLO	2558	2752	2467	2677	20	146	5310
7302	BULUKUMBA	730207	BULUKUMPA	7302072012	SAPO BONTO	2410	2433	2372	2233	33	205	4843
7302	BULUKUMBA	730207	BULUKUMPA	7302072013	TIBONA	2201	2098	2013	2173	16	97	4299
7302	BULUKUMBA	730207	BULUKUMPA	7302072014	BALANG PESOANG	1551	1474	1556	1353	23	93	3025
7302	BULUKUMBA	730207	BULUKUMPA	7302072015	BATULOHE	1051	1130	1037	1055	8	81	2181
7302	BULUKUMBA	730207	BULUKUMPA	7302072016	BONTOMANGIRING	1251	1382	1259	1311	25	38	2633
7302	BULUKUMBA	730207	BULUKUMPA	7302072017	BARUGA RIATTANG	315	344	306	317	8	28	659
7302	BULUKUMBA	730208	KINDANG	7302082001	BORONG RAPPOA	2431	2473	2436	2354	12	102	4904
7302	BULUKUMBA	730208	KINDANG	7302082002	MATTIROWALIE	2352	2362	2305	2221	23	165	4714
7302	BULUKUMBA	730208	KINDANG	7302082003	KINDANG	2641	2637	2778	2284	33	183	5278
7302	BULUKUMBA	730208	KINDANG	7302082004	ANRIHUA	2509	2536	2591	2267	10	177	5045
7302	BULUKUMBA	730208	KINDANG	7302082005	TAMAONA	1601	1737	1732	1505	10	91	3338
