kdkab	namakab	KDKEC	NAMA_KEC	KDKEL	DESA_KEL	LAKI	PEREMP	BLM_SKLH	TDK_TM_SD	TM_SD	SLTP	SLTA	DIP_II	DIP_III	STR_I	STR_II	STR_III	JML_DUK
7302	BULUKUMBA	730201	GANTARANG	7302012018	BONTOMASILA	2078	2082	1239	640	1340	462	422	9	19	28	0	1	4160
7302	BULUKUMBA	730201	GANTARANG	7302012019	BAROMBONG	973	1050	332	282	574	324	407	37	17	50	0	0	2023
7302	BULUKUMBA	730201	GANTARANG	7302012020	BUKIT TINGGI	1651	1663	1408	583	744	265	248	14	7	43	0	2	3314
7302	BULUKUMBA	730201	GANTARANG	7302012021	TACCORONG	377	367	249	74	208	73	96	2	7	35	0	0	744
7302	BULUKUMBA	730202	UJUNG BULU	7302021001	TANAH KONGKONG	3470	3589	1136	831	1107	886	2099	79	182	693	45	1	7059
7302	BULUKUMBA	730202	UJUNG BULU	7302021002	BENTENGNGE	2754	2903	960	530	1228	793	1709	36	127	254	17	3	5657
7302	BULUKUMBA	730202	UJUNG BULU	7302021003	TERANG-TERANG	1573	1659	617	411	526	438	850	73	48	258	11	0	3232
7302	BULUKUMBA	730202	UJUNG BULU	7302021004	KALUMEME	3738	3804	1602	1185	1984	778	1397	41	99	439	17	0	7542
7302	BULUKUMBA	730202	UJUNG BULU	7302021005	BINTARORE	2720	2766	1337	1004	1309	578	937	34	56	221	10	0	5486
7302	BULUKUMBA	730202	UJUNG BULU	7302021006	KASIMPURENG	2250	2299	897	1041	659	606	1021	42	59	217	7	0	4549
7302	BULUKUMBA	730202	UJUNG BULU	7302021007	CAILE	7300	7383	2410	1634	1862	1777	4385	170	400	1867	176	2	14683
7302	BULUKUMBA	730202	UJUNG BULU	7302021008	L O K A	2993	3083	1080	860	883	771	1757	63	124	494	43	1	6076
7302	BULUKUMBA	730202	UJUNG BULU	7302021009	ELA ELA	2438	2494	1065	692	866	596	1228	69	117	281	14	4	4932
7302	BULUKUMBA	730203	BONTO BAHARI	7302031001	TANAH LEMO	2825	2898	1439	948	1627	790	752	19	30	113	0	5	5723
7302	BULUKUMBA	730203	BONTO BAHARI	7302031002	SAPOLOHE	3620	3705	1307	847	2548	968	1320	31	75	218	8	3	7325
7302	BULUKUMBA	730203	BONTO BAHARI	7302031003	BENJALA	2367	2472	1175	965	1394	634	577	9	19	65	0	1	4839
7302	BULUKUMBA	730203	BONTO BAHARI	7302031004	TANAH BERU	1457	1443	595	497	628	450	509	47	24	147	3	0	2900
7302	BULUKUMBA	730203	BONTO BAHARI	7302032005	B I R A	1945	2157	762	649	1266	558	677	16	42	124	7	1	4102
7302	BULUKUMBA	730203	BONTO BAHARI	7302032006	A R A	1674	1746	1067	1000	785	244	253	13	16	38	3	1	3420
7302	BULUKUMBA	730203	BONTO BAHARI	7302032007	DARUBIAH	1626	1871	542	364	1589	407	454	25	22	93	1	0	3497
7302	BULUKUMBA	730203	BONTO BAHARI	7302032008	LEMBANNA	1381	1364	871	243	848	284	392	15	13	74	5	0	2745
7302	BULUKUMBA	730204	BONTOTIRO	7302041001	EKATIRO	2132	2361	996	480	1048	535	1056	62	75	232	9	0	4493
7302	BULUKUMBA	730204	BONTOTIRO	7302042002	DWI TIRO	1358	1395	714	302	719	330	540	32	31	80	4	1	2753
7302	BULUKUMBA	730204	BONTOTIRO	7302042003	TRITIRO	1380	1496	577	282	792	326	624	54	44	174	3	0	2876
7302	BULUKUMBA	730204	BONTOTIRO	7302042004	BATANG	1623	1799	892	336	952	496	555	25	21	142	2	1	3422
7302	BULUKUMBA	730204	BONTOTIRO	7302042005	BONTO TANGNGA	2139	2428	1006	713	1112	552	913	25	50	188	3	5	4567
7302	BULUKUMBA	730204	BONTOTIRO	7302042006	CARAMMING	2075	2292	1287	842	854	623	602	39	35	83	0	2	4367
7302	BULUKUMBA	730204	BONTOTIRO	7302042007	TAMALANREA	1560	1679	849	378	964	477	457	10	24	74	5	1	3239
7302	BULUKUMBA	730204	BONTOTIRO	7302042008	BONTO BARUA	1016	1116	683	380	424	291	306	12	3	32	1	0	2132
7302	BULUKUMBA	730204	BONTOTIRO	7302042009	PAKUBALAHO	692	717	421	173	290	172	290	10	21	29	1	2	1409
7302	BULUKUMBA	730204	BONTOTIRO	7302042010	BONTU MARANNU	1124	1154	657	297	553	361	322	15	13	60	0	0	2278
7302	BULUKUMBA	730204	BONTOTIRO	7302042011	BONTO BULAENG	685	751	473	183	330	206	192	6	13	30	1	2	1436
7302	BULUKUMBA	730204	BONTOTIRO	7302042012	BUHUNG BUNDANG	1427	1501	768	371	663	329	584	34	36	141	1	1	2928
7302	BULUKUMBA	730204	BONTOTIRO	7302042013	LAMANDA	28	15	6	9	11	7	10	0	0	0	0	0	43
7302	BULUKUMBA	730205	HERO LANGE-LANGE	7302051001	TANUNTUNG	2560	2689	1699	807	1020	610	859	56	43	148	5	2	5249
7302	BULUKUMBA	730205	HERO LANGE-LANGE	7302051002	BONTO KAMASE	2809	3041	1776	1003	1593	679	689	14	18	77	0	1	5850
7302	BULUKUMBA	730205	HERO LANGE-LANGE	7302052003	KARASSING	1956	2098	1011	612	1163	643	540	8	17	59	1	0	4054
7302	BULUKUMBA	730205	HERO LANGE-LANGE	7302052004	SINGA	2208	2478	1302	669	883	661	861	65	48	190	4	3	4686
7302	BULUKUMBA	730205	HERO LANGE-LANGE	7302052005	GUNTURU	2343	2508	1187	763	1152	590	888	59	39	168	5	0	4851
7302	BULUKUMBA	730205	HERO LANGE-LANGE	7302052006	BORONG	1777	1925	1348	468	685	500	574	38	16	72	1	0	3702
7302	BULUKUMBA	730205	HERO LANGE-LANGE	7302052007	TUGONDENG	2700	2946	1519	1097	1613	699	611	27	13	63	3	1	5646
7302	BULUKUMBA	730205	HERO LANGE-LANGE	7302052008	PATARO	1834	1994	1206	517	798	491	666	25	27	88	9	1	3828
7302	BULUKUMBA	730206	KAJANG	7302061001	TANAH JAYA	3953	4086	1852	1362	2061	1066	1350	63	78	197	9	1	8039
7302	BULUKUMBA	730206	KAJANG	7302061002	LAIKANG	1429	1549	618	569	1051	254	403	27	8	47	1	0	2978
7302	BULUKUMBA	730206	KAJANG	7302062003	TAMBANGAN	2302	2522	1369	692	1217	604	656	67	62	151	6	0	4824
7302	BULUKUMBA	730206	KAJANG	7302062004	LEMBANNA	1938	1962	911	564	1345	533	452	12	17	63	3	0	3900
7302	BULUKUMBA	730206	KAJANG	7302062005	POSSI TANAH	1046	1070	387	286	610	462	304	20	12	35	0	0	2116
7302	BULUKUMBA	730206	KAJANG	7302062006	TANAH TOWA	2053	2284	2773	578	701	125	140	6	7	6	1	0	4337
7302	BULUKUMBA	730206	KAJANG	7302062007	BONTO BIRAENG	1090	1077	538	499	574	304	235	7	4	6	0	0	2167
7302	BULUKUMBA	730206	KAJANG	7302062008	LEMBANG	1439	1556	736	816	614	384	379	16	10	38	2	0	2995
7302	BULUKUMBA	730206	KAJANG	7302062009	BATUNILAMUNG	1042	1034	960	248	668	93	99	4	1	2	0	1	2076
7302	BULUKUMBA	730206	KAJANG	7302062010	MATTOANGING	1081	1185	792	182	568	350	300	8	15	51	0	0	2266
7302	BULUKUMBA	730206	KAJANG	7302062011	MALLELENG	1043	1099	1028	224	571	137	146	2	7	25	2	0	2142
7302	BULUKUMBA	730206	KAJANG	7302062012	BONTO BAJI	2584	2626	2696	724	1257	269	210	7	15	29	0	3	5210
7302	BULUKUMBA	730206	KAJANG	7302062013	BONTORANNU	1248	1331	627	420	591	376	439	43	23	57	3	0	2579
7302	BULUKUMBA	730206	KAJANG	7302062014	PATTIROANG	1030	1089	1214	245	424	122	99	1	4	10	0	0	2119
7302	BULUKUMBA	730206	KAJANG	7302062015	SAPANANG	1097	1004	822	374	665	109	113	5	2	8	0	3	2101
7302	BULUKUMBA	730206	KAJANG	7302062016	SANGKALA	1433	1393	975	493	1060	168	114	0	2	12	0	2	2826
7302	BULUKUMBA	730206	KAJANG	7302062017	LEMBANGLOHE	1296	1421	578	473	633	395	505	28	17	86	2	0	2717
7302	BULUKUMBA	730206	KAJANG	7302062019	PANTAMA	1366	1409	648	560	702	408	368	18	28	41	1	1	2775
7302	BULUKUMBA	730206	KAJANG	7302062118	LOLISANG	1307	1333	820	714	690	229	161	4	10	12	0	0	2640
7302	BULUKUMBA	730207	BULUKUMPA	7302071001	TANETE	3260	3387	1458	785	1407	925	1562	103	76	313	17	1	6647
7302	BULUKUMBA	730207	BULUKUMPA	7302071002	JAWI - JAWI	3014	3048	1686	744	1561	801	864	54	54	289	8	1	6062
7302	BULUKUMBA	730207	BULUKUMPA	7302071003	BALLASARAJA	1991	2082	948	451	1276	526	678	20	29	141	3	1	4073
7302	BULUKUMBA	730207	BULUKUMPA	7302072004	BONTO BULAENG	1986	2160	741	545	1199	665	744	39	34	171	8	0	4146
7302	BULUKUMBA	730207	BULUKUMPA	7302072005	BULO-BULO	1938	2079	808	457	1074	564	838	40	50	177	7	2	4017
7302	BULUKUMBA	730207	BULUKUMPA	7302072006	BONTO MINASA	2037	2161	1174	592	1088	594	582	43	24	95	4	2	4198
7302	BULUKUMBA	730207	BULUKUMPA	7302072007	BALANG TAROANG	1335	1431	628	222	906	485	440	10	12	59	2	2	2766
7302	BULUKUMBA	730207	BULUKUMPA	7302072008	BARUGAE	1749	1748	773	533	1211	385	473	37	18	65	1	1	3497
7302	BULUKUMBA	730207	BULUKUMPA	7302072009	SALASSAE	2009	1953	1056	518	1032	522	641	26	53	114	0	0	3962
7302	BULUKUMBA	730207	BULUKUMPA	7302072010	KAMBUNO	2096	2243	889	547	1561	594	600	36	21	91	0	0	4339
7302	BULUKUMBA	730207	BULUKUMPA	7302072011	JOJJOLO	2558	2752	1234	848	2093	578	479	22	14	41	0	1	5310
7302	BULUKUMBA	730207	BULUKUMPA	7302072012	SAPO BONTO	2410	2433	869	640	1854	736	595	22	23	101	0	3	4843
7302	BULUKUMBA	730207	BULUKUMPA	7302072013	TIBONA	2201	2098	1079	594	1572	547	407	32	20	46	1	1	4299
7302	BULUKUMBA	730207	BULUKUMPA	7302072014	BALANG PESOANG	1551	1474	649	394	1228	336	331	25	18	43	1	0	3025
7302	BULUKUMBA	730207	BULUKUMPA	7302072015	BATULOHE	1051	1130	888	388	529	171	175	4	9	15	2	0	2181
7302	BULUKUMBA	730207	BULUKUMPA	7302072016	BONTOMANGIRING	1251	1382	945	400	815	224	205	9	11	24	0	0	2633
7302	BULUKUMBA	730207	BULUKUMPA	7302072017	BARUGA RIATTANG	315	344	85	78	258	107	102	4	4	19	2	0	659
7302	BULUKUMBA	730208	KINDANG	7302082001	BORONG RAPPOA	2431	2473	1736	727	1213	536	483	30	51	121	6	1	4904
7302	BULUKUMBA	730208	KINDANG	7302082002	MATTIROWALIE	2352	2362	1445	623	1724	412	412	21	13	61	2	1	4714
7302	BULUKUMBA	730208	KINDANG	7302082003	KINDANG	2641	2637	1918	889	1396	503	439	27	40	62	3	1	5278
7302	BULUKUMBA	730208	KINDANG	7302082004	ANRIHUA	2509	2536	1211	519	1805	727	594	27	42	117	2	1	5045
7302	BULUKUMBA	730208	KINDANG	7302082005	TAMAONA	1601	1737	1044	688	759	372	336	29	28	81	1	0	3338
7302	BULUKUMBA	730208	KINDANG	7302082006	BENTENG PALIOI	2908	2944	1872	1282	1588	548	446	43	15	53	1	4	5852
7302	BULUKUMBA	730208	KINDANG	7302082007	BALIBO	1766	1790	809	646	1364	327	336	26	12	32	4	0	3556
7302	BULUKUMBA	730208	KINDANG	7302082008	GARUNTUNGAN	1693	1734	1145	387	1078	329	329	29	33	92	2	3	3427
7302	BULUKUMBA	730208	KINDANG	7302082009	ORO GADING	743	779	590	346	378	96	89	9	0	11	2	1	1522
7302	BULUKUMBA	730208	KINDANG	7302082010	SIPAENDRE	125	126	60	25	95	32	29	0	2	8	0	0	251
7302	BULUKUMBA	730208	KINDANG	7302082011	KAHAYYA	29	28	6	3	19	8	12	3	1	5	0	0	57
7302	BULUKUMBA	730208	KINDANG	7302082012	SOMBA PALIOI	7	7	7	0	5	0	0	0	1	1	0	0	14
7302	BULUKUMBA	730208	KINDANG	7302082013	SOPA	15	11	4	3	9	4	3	0	0	3	0	0	26
7302	BULUKUMBA	730209	UJUNG LOE	7302092001	DANNUANG	2707	2859	1339	832	1841	575	762	21	74	117	2	3	5566
7302	BULUKUMBA	730209	UJUNG LOE	7302092002	GARANTA	2587	2852	1076	1263	1440	815	676	22	25	111	10	1	5439
7302	BULUKUMBA	730209	UJUNG LOE	7302092003	BALLEANGING	2618	2771	1643	842	1440	620	685	22	20	106	5	6	5389
7302	BULUKUMBA	730209	UJUNG LOE	7302092004	BALONG	2200	2210	1163	838	1304	527	477	17	28	53	2	1	4410
7302	BULUKUMBA	730209	UJUNG LOE	7302092005	SEPPANG	3002	3086	1373	1442	1773	724	670	9	23	72	1	1	6088
7302	BULUKUMBA	730209	UJUNG LOE	7302092006	MANYAMPA	2619	2762	2015	785	1149	623	631	26	31	115	4	2	5381
7302	BULUKUMBA	730209	UJUNG LOE	7302092007	TAMATTO	2716	2818	1546	792	1492	739	763	53	32	114	3	0	5534
7302	BULUKUMBA	730209	UJUNG LOE	7302092008	PADANG LOANG	1778	1813	1231	435	1001	382	451	30	15	44	2	0	3591
7302	BULUKUMBA	730209	UJUNG LOE	7302092009	MANJALLING	1414	1481	570	538	870	339	461	16	25	71	5	0	2895
7302	BULUKUMBA	730209	UJUNG LOE	7302092010	LONRONG	836	866	318	303	388	300	336	9	8	40	0	0	1702
7302	BULUKUMBA	730209	UJUNG LOE	7302092011	SALEMBA	2206	2377	1119	480	1432	648	718	22	44	112	8	0	4583
7302	BULUKUMBA	730209	UJUNG LOE	7302092012	BIJAWANG	1933	2052	847	541	1355	552	585	8	25	65	6	1	3985
7302	BULUKUMBA	730209	UJUNG LOE	7302092013	PACCARAMMENGANG	139	137	86	31	95	22	36	0	1	5	0	0	276
7302	BULUKUMBA	730210	RILAU ALE	7302102001	BONTOMANAI	2396	2535	1138	578	1592	671	761	12	52	124	3	0	4931
7302	BULUKUMBA	730210	RILAU ALE	7302102002	PALAMPANG	1974	2150	983	452	951	552	887	48	64	175	12	0	4124
7302	BULUKUMBA	730210	RILAU ALE	7302102003	BONTOBANGUN	1991	2125	851	657	1089	528	712	62	49	155	11	2	4116
7302	BULUKUMBA	730210	RILAU ALE	7302102004	KARAMA	2079	2197	1026	620	1322	637	562	20	24	64	1	0	4276
