kdkab	namakab	KDKEC	NAMA_KEC	KDKEL	DESA_KEL	LAKI	PEREMP	ISLAM	KRISTEN	KATHOLIK	HINDU	BUDHA	KONGHUCU	KEPERCAYAAN	JML_DUK
7302	BULUKUMBA	730205	HERO LANGE-LANGE	7302052006	BORONG	1777	1925	3700	2	0	0	0	0	0	3702
7302	BULUKUMBA	730205	HERO LANGE-LANGE	7302052007	TUGONDENG	2700	2946	5641	5	0	0	0	0	0	5646
7302	BULUKUMBA	730205	HERO LANGE-LANGE	7302052008	PATARO	1834	1994	3826	1	1	0	0	0	0	3828
7302	BULUKUMBA	730206	KAJANG	7302061001	TANAH JAYA	3953	4086	8037	2	0	0	0	0	0	8039
7302	BULUKUMBA	730206	KAJANG	7302061002	LAIKANG	1429	1549	2976	2	0	0	0	0	0	2978
7302	BULUKUMBA	730206	KAJANG	7302062003	TAMBANGAN	2302	2522	4820	4	0	0	0	0	0	4824
7302	BULUKUMBA	730206	KAJANG	7302062004	LEMBANNA	1938	1962	3894	6	0	0	0	0	0	3900
7302	BULUKUMBA	730206	KAJANG	7302062005	POSSI TANAH	1046	1070	2115	1	0	0	0	0	0	2116
7302	BULUKUMBA	730206	KAJANG	7302062006	TANAH TOWA	2053	2284	4337	0	0	0	0	0	0	4337
7302	BULUKUMBA	730206	KAJANG	7302062007	BONTO BIRAENG	1090	1077	2162	5	0	0	0	0	0	2167
7302	BULUKUMBA	730206	KAJANG	7302062008	LEMBANG	1439	1556	2995	0	0	0	0	0	0	2995
7302	BULUKUMBA	730206	KAJANG	7302062009	BATUNILAMUNG	1042	1034	2076	0	0	0	0	0	0	2076
7302	BULUKUMBA	730206	KAJANG	7302062010	MATTOANGING	1081	1185	2266	0	0	0	0	0	0	2266
7302	BULUKUMBA	730206	KAJANG	7302062011	MALLELENG	1043	1099	2141	0	0	1	0	0	0	2142
7302	BULUKUMBA	730206	KAJANG	7302062012	BONTO BAJI	2584	2626	5208	2	0	0	0	0	0	5210
7302	BULUKUMBA	730206	KAJANG	7302062013	BONTORANNU	1248	1331	2575	3	0	1	0	0	0	2579
7302	BULUKUMBA	730206	KAJANG	7302062014	PATTIROANG	1030	1089	2119	0	0	0	0	0	0	2119
