kdkab	namakab	kdkec	namakec	kdkel	desakel	pra_sekolah	sd_sederajat	sltp_sederajat	slta_sederajat	perguruan_tinggi	
7303	BANTAENG	730306	ULUERE	7303062007	BONTO RANNU	71	136	85	94	942
7303	BANTAENG	730306	ULUERE	7303062010	BONTO DAENG	160	201	134	108	1537
7303	BANTAENG	730306	ULUERE	7303062011	BONTO LOJONG	286	362	235	191	2139
7303	BANTAENG	730307	GANTARANG KEKE	7303071001	GANTARANG KEKE	224	458	240	208	2558
7303	BANTAENG	730307	GANTARANG KEKE	7303071002	TANAH LOE	167	321	184	182	2013
7303	BANTAENG	730307	GANTARANG KEKE	7303072003	LAYOA	216	486	262	228	2608
7303	BANTAENG	730307	GANTARANG KEKE	7303072004	BAJIMINASA	213	402	237	218	2676
7303	BANTAENG	730307	GANTARANG KEKE	7303072005	TOMBOLO	206	321	222	182	2442
7303	BANTAENG	730307	GANTARANG KEKE	7303072006	KALOLING	232	388	236	187	2816
7303	BANTAENG	730308	SINOA	7303082001	BONTO TIRO	187	321	171	158	1847
7303	BANTAENG	730308	SINOA	7303082002	BONTO KARAENG	118	186	107	112	1274
7303	BANTAENG	730308	SINOA	7303082003	BONTO MACCINI	124	212	119	111	1410
7303	BANTAENG	730308	SINOA	7303082004	BONTO MATE'NE	234	352	199	201	2540
7303	BANTAENG	730308	SINOA	7303082005	BONTO MAJANNANG	98	190	94	86	1180
7303	BANTAENG	730308	SINOA	7303082006	BONTO BULAENG	212	327	180	156	1611
7304	JENEPONTO	730401	BANGKALA	7304011001	BENTENG	125	385	192	154	2049
7304	JENEPONTO	730401	BANGKALA	7304011002	PALLENGU	133	482	222	209	2545
7304	JENEPONTO	730401	BANGKALA	7304011003	PANTAI BAHARI	173	373	209	162	1793
7304	JENEPONTO	730401	BANGKALA	7304012004	PALLANTIKANG	156	507	262	242	2565
7304	JENEPONTO	730401	BANGKALA	7304012005	BONTORANNU	119	545	292	255	2610
7304	JENEPONTO	730401	BANGKALA	7304012006	KALIMPORO	97	382	201	174	2118
